player_name,Size,Explosiveness,Strength,career_length,overall_pick,age_at_draft,organization_type,position,greatest_75
Kevin Durant,2.8495804725406044,-1.529129661600793,-2.2246326815459483,17.0,2,19.0,College/University,SF-PF,Y
Aaron Gray,4.800331410047144,0.24788699236126086,1.21352180518936,7.0,49,23.0,College/University,C,N
Jeff Green,0.23420316778537123,2.007130665005152,-0.9029220395083517,17.0,5,21.0,College/University,SF,N
Taurean Green,-2.828600249535664,-2.2626165397055553,0.36269572889837415,1.0,52,21.0,College/University,PG,N
Spencer Hawes,4.006792340163174,-1.3041184812738533,1.267699515708184,10.0,10,19.0,College/University,PF,N
Herbert Hill,1.9507634860926861,0.835855229584274,-0.6405539954299596,1.0,55,23.0,College/University,C,N
Al Horford,2.0586195102226883,1.7017681313040647,0.9817206650544131,17.0,3,21.0,College/University,PF,N
Carl Landry,0.5025518037335273,1.9832213372998513,1.3177231860563174,9.0,31,24.0,College/University,PF,N
Stephane Lasme,0.3946214731714461,1.0890142094863828,-0.339915451940412,1.0,46,25.0,College/University,PF,N
Acie Law,-2.0237946524655577,-1.303452663285019,0.177265960244846,4.0,11,22.0,College/University,PG,N
Dominic McGuire,-0.04878531392839561,0.10748632304730656,-0.17739027199745705,6.0,47,22.0,College/University,SF,N
Joakim Noah,1.2000441958247035,1.225962531788358,-1.3965733669219091,13.0,9,22.0,College/University,PF,N
Greg Oden,2.648361942758563,1.7327389457994875,-0.8287688086947581,7.0,1,19.0,College/University,C,N
Chris Richard,2.734651247851923,0.29163544328751007,0.5593275816167703,3.0,41,23.0,College/University,PF,N
Jason Smith,0.44539341035209506,2.11692568212307,0.12361114221271773,12.0,20,21.0,College/University,PF,N
DJ Strawberry,-1.6665699219752306,0.45470050993608246,1.2372882688946782,1.0,59,22.0,College/University,SG,N
Yue Sun,0.2130220508243619,-0.668334555170297,-0.3844893510441965,1.0,40,22.0,Other Team/Club,SF,N
Al Thornton,-0.7259664312965685,2.2021803408784946,-1.4789039303261433,4.0,14,24.0,College/University,SF,N
Julian Wright,1.1438087790770135,-0.9974101397912687,-1.5852778309302236,4.0,13,20.0,College/University,SF-PF,N
Nick Young,-2.0260044900682286,2.239232007310435,-1.3442528630873862,12.0,16,22.0,College/University,SG-SF,N
Thaddeus Young,-0.9092162624170119,1.7847447451753684,-0.767470614393955,17.0,12,19.0,College/University,SF,N
Joe Alexander,-0.694412954647962,3.198415060799663,0.6513708188097568,2.0,8,22.0,College/University,SF-PF,N
Darrell Arthur,1.3211600559631669,-0.2600776739370501,0.04749238753828229,10.0,27,20.0,College/University,PF,N
D.J. Augustin,-3.3861512602602994,-2.2389626421343407,0.5565167832584127,16.0,9,21.0,College/University,PG,N
Patrick Ewing Jr.,-0.5406036998698663,0.8990816153927573,-0.9905963190445355,1.0,43,24.0,College/University,SF-PF,N
J.R. Giddens,-0.5105280634447183,-0.14328534137633672,-0.35123949960093787,2.0,30,23.0,College/University,SG,N
Eric Gordon,-2.32106347529161,1.7961028897308358,1.2542799973138976,15.0,7,20.0,College/University,SG,N
Donte Greene,0.9712438517639357,-1.1595337876105736,-0.6230030623454964,5.0,28,20.0,College/University,SF-PF,N
Malik Hairston,-1.2967602405760466,0.9201195435336462,0.22234077832367283,2.0,48,21.0,College/University,SG,N
George Hill,-2.6973586184949108,0.5496564427448142,-1.4858917593452832,16.0,26,22.0,College/University,PG,N
Lester Hudson,-2.44190481103869,-0.08726305880890221,-0.16682383383169436,6.0,58,24.0,College/University,PG,N
Darnell Jackson,2.194426677126808,-0.5059262521098536,1.6721569846928404,3.0,52,23.0,College/University,PF,N
DeAndre Jordan,3.8600010395876474,-0.15136550167823676,-0.9415853979140575,16.0,35,20.0,College/University,C,N
Kevin Love,1.5352212174820388,1.4857340470444813,2.483828952932789,16.0,5,20.0,College/University,PF,N
O.J. Mayo,-2.5154326874108275,0.23582953701427598,-0.2104446363234079,8.0,3,21.0,College/University,SG-PG,N
Luc Mbah a Moute,-0.10158364114894254,1.5265819891258583,-0.6145801632414492,12.0,37,22.0,College/University,SF,N
Anthony Randolph,1.0897484543563152,0.008686801566011685,-1.9956576248352926,9.0,14,19.0,College/University,PF-SF,N
Sean Singletary,-2.4958678454683754,-1.3604288062169716,1.4360414839295121,1.0,42,23.0,College/University,PG,N
Mike Taylor,-3.6323610625605838,-0.7434308741781904,-1.4492788665768115,1.0,55,22.0,Other Team/Club,SG-PG,N
Sonny Weems,-2.0318857051496586,0.5966296049930491,-0.21835983813448373,8.0,39,22.0,College/University,SG-SF,N
Jeff Ayres,1.0795725067204918,1.6962198487899545,-0.48123401019385,7.0,31,22.0,College/University,PF,N
Rodrigue Beaubois,-2.504963115040672,-0.6533193972310337,-0.19362876554461783,4.0,25,21.0,Other Team/Club,PG,N
DeJuan Blair,3.0241626657991105,0.3178857689904995,2.5515601408469473,7.0,37,20.0,College/University,PF,N
Derrick Brown,0.8055384638427336,2.0306168129690514,0.9541583519511342,3.0,40,22.0,College/University,SF-PF,N
Chase Budinger,-0.8704396364961927,0.09627695195262019,0.9567678452567057,7.0,44,21.0,College/University,SF-SG,N
DeMarre Carroll,-0.12251451220227819,-0.05146615841057408,-0.26297861659479954,11.0,27,23.0,College/University,PF-SF,N
Omri Casspi,0.907823471768813,-1.8474475588730888,-0.19345518529835887,10.0,23,21.0,Other Team/Club,SF,N
Darren Collison,-3.649040166947767,-1.28712351233694,0.7233159938350427,13.0,21,22.0,College/University,PG,N
Dante Cunningham,0.5355112777372653,0.7802472920426946,0.34193373936992794,10.0,33,22.0,College/University,PF,N
Stephen Curry,-2.4399307705190703,-1.2445828220767052,0.5053079828063075,15.0,7,21.0,College/University,PG-SG,Y
Austin Daye,3.042973579823247,-3.004631920934343,-2.1728513146075183,6.0,15,21.0,College/University,SF-PF,N
DeMar DeRozan,-0.43844205133036074,-0.44413641711952684,-1.2902082118135676,15.0,9,20.0,College/University,SG-SF,N
Toney Douglas,-2.677057761574054,-0.7538066440830204,1.2519612691064674,8.0,29,23.0,College/University,PG,N
Wayne Ellington,-1.8831798428132094,0.5978762255915849,0.18341287875277307,13.0,28,22.0,College/University,SG,N
